Date : 2024-08-05 21:01:00
Directory : c:\Users\utkarsh\Projects\cars
Total : 84 files,  16483 codes, 167 comments, 549 blanks, all 17199 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\utkarsh\Projects\cars\src\components\ui\form.tsx                      | TypeScript JSX     |        153 |          0 |         26 |        179 |
| c:\Users\utkarsh\Projects\cars\src\components\ui\input-otp.tsx                 | TypeScript JSX     |         63 |          0 |          9 |         72 |
| c:\Users\utkarsh\Projects\cars\src\components\ui\input.tsx                     | TypeScript JSX     |         21 |          0 |          5 |         26 |
| c:\Users\utkarsh\Projects\cars\src\components\ui\label.tsx                     | TypeScript JSX     |         21 |          0 |          6 |         27 |
| c:\Users\utkarsh\Projects\cars\src\components\ui\textarea.tsx                  | TypeScript JSX     |         20 |          0 |          5 |         25 |
| c:\Users\utkarsh\Projects\cars\src\components\ui\toast.tsx                     | TypeScript JSX     |        116 |          0 |         14 |        130 |
| c:\Users\utkarsh\Projects\cars\src\components\ui\toaster.tsx                   | TypeScript JSX     |         32 |          0 |          4 |         36 |
| c:\Users\utkarsh\Projects\cars\src\components\ui\use-toast.ts                  | TypeScript         |        160 |          3 |         32 |        195 |
| c:\Users\utkarsh\Projects\cars\src\helpers\SendEmail.js                        | JavaScript         |         42 |          2 |          5 |         49 |
| c:\Users\utkarsh\Projects\cars\src\helpers\Sendit.ts                           | TypeScript         |         14 |          0 |          2 |         16 |
| c:\Users\utkarsh\Projects\cars\src\helpers\VerificationEmail.jsx               | JavaScript JSX     |         50 |          8 |          2 |         60 |
| c:\Users\utkarsh\Projects\cars\src\helpers\getCookie.ts                        | TypeScript         |         15 |          2 |          1 |         18 |
| c:\Users\utkarsh\Projects\cars\src\helpers\truncateWords.tsx                   | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\utkarsh\Projects\cars\src\hooks\use-outside-click.ts                  | TypeScript         |         20 |          0 |          4 |         24 |
