"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "Markdown", "CSS", "JavaScript JSX", "XML", "Prisma", "comment", "blank", "total"
"c:\Users\utkarsh\Projects\cars\src\components\pages\AtLoginTimeVerify.tsx", "TypeScript JSX", 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 2, 13, 183
"c:\Users\utkarsh\Projects\cars\src\components\pages\ConfirmPassword.tsx", "TypeScript JSX", 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 1, 10, 165
"c:\Users\utkarsh\Projects\cars\src\components\pages\ImageUploadDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 4, 8, 106
"c:\Users\utkarsh\Projects\cars\src\components\pages\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 6, 7, 196
"c:\Users\utkarsh\Projects\cars\src\components\pages\Navbar2.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\utkarsh\Projects\cars\src\components\pages\NewJobs.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 38, 13, 124
"c:\Users\utkarsh\Projects\cars\src\components\pages\VerifyEmail.tsx", "TypeScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 4, 113
"c:\Users\utkarsh\Projects\cars\src\components\parts\Carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 1, 6, 127
"c:\Users\utkarsh\Projects\cars\src\components\parts\MoonIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\utkarsh\Projects\cars\src\components\parts\SunIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\utkarsh\Projects\cars\src\components\parts\ThemeSwitcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\utkarsh\Projects\cars\src\components\parts\style.css", "CSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 16, 2, 22
"c:\Users\utkarsh\Projects\cars\src\components\ui\apple-cards-carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 23, 303
"c:\Users\utkarsh\Projects\cars\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Users\utkarsh\Projects\cars\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 9, 80
"c:\Users\utkarsh\Projects\cars\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 14, 123
"c:\Users\utkarsh\Projects\cars\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 19, 201
"c:\Users\utkarsh\Projects\cars\src\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 26, 179
"c:\Users\utkarsh\Projects\cars\src\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 9, 72
"c:\Users\utkarsh\Projects\cars\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\utkarsh\Projects\cars\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\utkarsh\Projects\cars\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\utkarsh\Projects\cars\src\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 14, 130
"c:\Users\utkarsh\Projects\cars\src\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\utkarsh\Projects\cars\src\components\ui\use-toast.ts", "TypeScript", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 3, 32, 195
"c:\Users\utkarsh\Projects\cars\src\helpers\SendEmail.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 49
"c:\Users\utkarsh\Projects\cars\src\helpers\Sendit.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
